"How many member states does the Commonwealth have?<br><br>53<br>27<br>5<br>190"	"53"	"The Queen is the ceremonial head of the Commonwealth, which currently has 53 member states."	"Life in the UK"	
"What did the Chartists campaign for?<br><br>Open ballots<br>Anyone to be able to stand as an MP<br>Every man to have a vote<br>Elections every 5 years"	"Every man to have a vote"	"In the 1830s and 1840s, a group called the Chartists campaigned for reform. They wanted six changes:"	"Life in the UK"	
"When did the English defeat the Spanish Armada?<br><br>1588<br>1600<br>1597<br>1584"	"1588"	"Elizabeth became one of the most popular monarchs in English history, particularly after 1588, when the English defeated the Spanish Armada (a large fleet of ships), which had been sent by Spain to conquer England and restore Catholicism."	"Life in the UK"	
"Which country(s) did Britain fight against during the Battle of Trafalgar?<br><br>Only France<br>France and the Netherlands<br>Only the Netherlands<br>Spain and France"	"Spain and France"	"Britain’s navy fought against combined French and Spanish fleets, winning the Battle of Trafalgar in 1805."	"Life in the UK"	
"What medal was introduced during the Crimean War?<br><br>The Elizabeth Medal<br>Medal of Honour<br>The Victoria Cross<br>Elizabeth gold"	"The Victoria Cross"	"Queen Victoria introduced the Victoria Cross medal during the Crimean war. It honours acts of valour by soldiers."	"Life in the UK"	
"What event is known as the evacuation of 300,000 people from the beaches?<br><br>The Blitz spirit<br>D-Day<br>The Battle of Britain<br>The Dunkirk spirit"	"The Dunkirk spirit"	"Many civilian volunteers in small pleasure and fishing boats from Britain helped the Navy to rescue more than 300,000 men from the beaches around Dunkirk. The evacuation gave rise to the phrase ‘the Dunkirk spirit’."	"Life in the UK"	
"Why is it called ‘The Glorious Revolution’?<br><br>Because there was no fighting<br>Because of new technological advances<br>Because of new achievements<br>Women were given the right to vote"	"Because there was no fighting"	"This event was later called the ‘Glorious Revolution’ because there was no fighting in England and because it guaranteed the power of Parliament, ending the threat of a monarch ruling on his or her own as he or she wished."	"Life in the UK"	
"Who lost a lot of their power after the Battle of Culloden in 1746?<br><br>The Farmers<br>The Parliament<br>The King<br>The Clans"	"The Clans"	"The clans lost a lot of their power and influence after Culloden. Chieftains became landlords if they had the favour of the English king, and clansmen became tenants who had to pay for the land they used."	"Life in the UK"	
"Where did the Vikings come from?<br><br>Austria and Germany<br>Norway and Sweden<br>Spain and France<br>Norway and Denmark"	"Norway and Denmark"	"The Vikings came from Denmark and Norway. They first visited Britain in AD 789 to raid coastal towns and take away goods and slaves."	"Life in the UK"	
"What is the “King James” Bible?<br><br>The Protestant Version<br>The Correct Version<br>The First English Bible<br>A new translation into English"	"A new translation into English"	"One achievement of King James’ reign was a new translation of the Bible into English. This translation is known as the ‘King James Version’ or the ‘Authorised Version’. It was not the first English Bible but is a version which continues to be used in many Protestant churches today."	"Life in the UK"	
"Who designed the Cenotaph?<br><br>Sir Edwin Lutyens<br>Sir Christopher Wren<br>Robert Adam<br>Inigo Jones"	"Sir Edwin Lutyens"	"Sir Edwin Lutyens was responsible for many war memorials throughout the world, including the Cenotaph in Whitehall. The Cenotaph is the site of the annual Remembrance Day service attended by the Queen and many others."	"Life in the UK"	
"How many Houses did the Scottish Parliament have in the middle ages?<br><br>3<br>4<br>2<br>6"	"3"	"In the middle ages the Scottish Parliament had three Houses, called Estates: the lords, the commons and the clergy."	"Life in the UK"	
"Where do the Laurence Olivier Awards take place?<br><br>London<br>Edinburgh<br>Manchester<br>Kent"	"London"	"The Laurence Olivier Awards take place annually at different venues in London. There are a variety of categories, including best director, best actor and best actress. The awards are named after the British actor Sir Laurence Olivier, later Lord Olivier, who was best known for his roles in various Shakespeare plays."	"Life in the UK"	
"What can schools do to raise money?<br><br>Organise events<br>Ask parents for money<br>Ask the local council for extra funding<br>Reduce teachers' wages"	"Organise events"	"Many schools organise events to raise money for extra equipment or out-of-school activities. Activities might include book sales, toy sales or bringing food to sell."	"Life in the UK"	
"How long is Hannukah celebrated for?<br><br>8 days<br>7 days<br>10 days<br>9 days"	"8 days"	"Hannukah is in November or December and is celebrated for eight days. It is to remember the Jews’ struggle for religious freedom. On each day of the festival a candle is lit on a stand of eight candles (called a menorah) to remember the story of the festival, where oil that should have lasted only a day did so for eight."	"Life in the UK"	
"How long does it take to give blood?<br><br>20 minutes<br>1 hour<br>2 hours<br>10 minutes"	"1 hour"	"Donated blood is used by hospitals to help people with a wide range of injuries and illnesses, it takes about an hour to do so."	"Life in the UK"	
"How many times has the UK hosted the Olympic Games?<br><br>1<br>2<br>4<br>3"	"3"	"The UK has hosted the Olympic Games on three occasions: 1908, 1948 and 2012. The main Olympic site for the 2012 Games was in Stratford, East London."	"Life in the UK"	
"Which clan was killed because of not taking an oath?<br><br>The MacDonalds of Sleat<br>The MacDonalds of Clanranald<br>The MacDonalds of Glencoe<br>The MacDonalds of Keppoch"	"The MacDonalds of Glencoe"	"All Scottish clans were required formally to accept William as king by taking an oath. The MacDonalds of Glencoe were late in taking the oath and were all killed."	"Life in the UK"	
"Who invaded the Falkland Islands in 1982?<br><br>Portugal<br>Argentina<br>Columbia<br>Spain"	"Argentina"	"In 1982, Argentina invaded the Falkland Islands, a British overseas territory in the South Atlantic."	"Life in the UK"	
"When did the Glorious Revolution happen?<br><br>1692<br>1685<br>1688<br>1680"	"1688"	"In 1688, important Protestants in England asked William to invade England and proclaim himself king. When William reached England, there was no resistance. This event was later called the ‘Glorious Revolution’ because there was no fighting in England and because it guaranteed the power of Parliament, ending the threat of a monarch ruling on his or her own as he or she wished."	"Life in the UK"	
"What is known as the Bessemer process?<br><br>Production of coal<br>Production of steel<br>Production of iron<br>Production of bronze"	"Production of steel"	"The development of the Bessemer process for the mass production of steel led to the development of the shipbuilding industry and the railways."	"Life in the UK"	
"What is the British Constitution often described as?<br><br>Unwritten<br>Preserved<br>Documented<br>Written down"	"Unwritten"	"The British constitution is not written down in any single document, and therefore it is described as ‘unwritten’. This is mainly because the UK, unlike America or France, has never had a revolution which led permanently to a totally new system of government."	"Life in the UK"	
"How many members does a jury have in Scotland?<br><br>12<br>15<br>13<br>14"	"15"	"In England, Wales and Northern Ireland a jury has 12 members, and in Scotland a jury has 15 members."	"Life in the UK"	
"Where is the best preserved prehistoric village “Skara Brae on Orkney” located?<br><br>Scotland<br>England<br>Ireland<br>Wales"	"Scotland"	"Skara Brae on Orkney, off the north coast of Scotland, is the best preserved prehistoric village in northern Europe, and has helped archaeologists to understand more about how people lived near the end of the Stone Age."	"Life in the UK"	
"What is an example of a Criminal Offence?<br><br>Selling Tobacco to under 18's<br>Discrimination in the workplace<br>Housing disputes<br>Owing Money"	"Selling Tobacco to under 18's"	"Examples of criminal laws are:"	"Life in the UK"	
"What does the “R” Plate stand for?<br><br>Refreshed Data<br>Rage Drinking<br>Repaired Damages<br>Restricted Driver"	"Restricted Driver"	"In Northern Ireland, a newly qualified driver must display an ‘R’ plate (for restricted driver) for one year after passing the test."	"Life in the UK"	
"Which of these are British Overseas Territories?<br><br>The Channel Islands and the Isle of Man<br>St Helena and Falkland Islands<br>USA and Australia<br>St Helena and the Isle of Man"	"St Helena and Falkland Islands"	"There are also several British overseas territories in other parts of the world, such as St Helena and the Falkland Islands. They are also linked to the UK but are not a part of it."	"Life in the UK"	
"Who discovered Insulin?<br><br>Mary Peters<br>Patrick Steptoe<br>John MacLeod<br>Ian Wilmot"	"John MacLeod"	"The Scottish physician and researcher John MacLeod (1876–1935) was the co-discoverer of insulin, used to treat diabetes."	"Life in the UK"	
"How long is the Bayeux Tapestry?<br><br>40m<br>3m<br>70m<br>12m"	"70m"	"The Battle of Hastings is commemorated in a great piece of embroidery, known as the Bayeux Tapestry which is 70 meters long."	"Life in the UK"	
"Who is able to change the Prime Minister during his/her term?<br><br>The Governing Party<br>The Speaker<br>The Monarch<br>Fellow MPs"	"The Governing Party"	"The Prime Minister can be changed if the MPs in the governing party decide to do so, or if he or she wishes to resign. The Prime Minister usually resigns if his or her party loses a General Election."	"Life in the UK"	
"What percentage of the work force are women?<br><br>30%<br>50%<br>40%<br>60%"	"50%"	"Women in Britain today make up about half of the workforce. On average, girls leave school with better qualifications than boys. More women than men study at university."	"Life in the UK"	
"Which organization looks after the Edinburgh Castle?<br><br>The Red Cross<br>NSPCC<br>The National Trust<br>Historic Scotland"	"Historic Scotland"	"The Edinburgh Castle has a long history, dating back to the early Middle Ages. It is looked after by Historic Scotland, a Scottish government agency."	"Life in the UK"	
"Where did Charles II hide to escape from Cromwell’s army?<br><br>In a garden<br>In a Church<br>In a house<br>In an oak tree"	"In an oak tree"	"Charles II escaped from Worcester, famously hiding in an oak tree on one occasion, and eventually fled to Europe."	"Life in the UK"	
"Why was Mary known as “Bloody Mary”?<br><br>She killed her father<br>She fought in numerous battles<br>She persecuted Protestants<br>She put her sister in prison"	"She persecuted Protestants"	"Mary was a devout Catholic and persecuted Protestants."	"Life in the UK"	
"What was the purpose of the Corn Laws in 1846?<br><br>To prevent the import of cheap grain<br>To build railways<br>To improve working conditions<br>To improve transport systems"	"To prevent the import of cheap grain"	"Corn Laws in 1846 had prevented the import of cheap grain."	"Life in the UK"	
"Where can you get help if you can’t afford to pay a vet?<br><br>Your vet<br>Charities<br>Family<br>Friends"	"Charities"	"Vaccinations and medical treatment for animals are available from veterinary surgeons (vets). There are charities which may help people who cannot afford to pay a vet."	"Life in the UK"	
"What is the responsibility that you have as a UK citizen?<br><br>Look after yourself and your family<br>Going to the library<br>Keeping an allotment<br>Going to the cinema"	"Look after yourself and your family"	"Flowing from the fundamental principles are responsibilities and freedoms which are shared by all those living in the UK and which we expect all residents to respect."	"Life in the UK"	
"When did the Parliament begin developing into the institution it is now?<br><br>During the Bronze Age<br>During the Industrial Revolution<br>During the Iron Age<br>During the Middle Ages"	"During the Middle Ages"	"In the Middle Ages, Parliament began to develop into the institution it is today. Its origins can be traced to the king’s council of advisers, which included important noblemen and the leaders of the Church."	"Life in the UK"	
"How many member states does the Commonwealth have?<br><br>190<br>5<br>27<br>53"	"53"	"The Queen is the ceremonial head of the Commonwealth, which currently has 53 member states."	"Life in the UK"	
"What happens if an MP dies or resigns?<br><br>A new General Election is held<br>The closest MP will have to cover<br>Someone takes over<br>A byelection is held"	"A byelection is held"	"If an MP dies or resigns, there will be a fresh election, called a byelection, in his or her constituency."	"Life in the UK"	
"What was the estimated population of the British Empire?<br><br>250 million<br>350 million<br>400 million<br>300 million"	"400 million"	"During the Victorian period, the British Empire grew to cover all of India, Australia and large parts of Africa. It became the largest empire the world has ever seen, with an estimated population of more than 400 million people."	"Life in the UK"	
"When did the BBC start the first radio broadcast?<br><br>1928<br>1903<br>1936<br>1922"	"1922"	"The BBC started radio broadcasts in 1922 and began the world’s first regular television service in 1936."	"Life in the UK"	
"Who set up the first formal anti-slavery campaigns?<br><br>Cavaliers<br>Roundheads<br>Jacobites<br>The Quakers"	"The Quakers"	"The first formal anti-slavery groups were set up by the Quakers in the late 1700s, and they petitioned Parliament to ban the practice."	"Life in the UK"	
"When did English become the official language for documents?<br><br>1502<br>1451<br>1400<br>1554"	"1400"	"By 1400, in England, official documents were being written in English, and English had become the preferred language of the royal court and Parliament."	"Life in the UK"	
"Who ordered to write the Book of Common Prayer?<br><br>Edward VI<br>Queen Mary<br>Henry VII<br>Henry VIII"	"Edward VI"	"Henry VIII was succeeded by his son Edward VI, who was strongly Protestant. During his reign, the Book of Common Prayer was written to be used in the Church of England."	"Life in the UK"	
"What does the Turner Prize celebrate?<br><br>Contemporary Art<br>The Best Song<br>The Best Play<br>The Best Album"	"Contemporary Art"	"The Turner Prize was established in 1984 and celebrates contemporary art."	"Life in the UK"	
"Where is the Millennium Stadium located?<br><br>Edinburgh<br>Manchester<br>London<br>Cardiff"	"Cardiff"	"Sporting events take place at major stadiums such as Wembley Stadium in London and the Millennium Stadium in Cardiff."	"Life in the UK"	
"What is the official name of the country?<br><br>Great Britain<br>The UK and Ireland<br>The United Kingdom of Great Britain and Northern Ireland<br>United Kingdom"	"The United Kingdom of Great Britain and Northern Ireland"	"The official name of the country is the United Kingdom of Great Britain and Northern Ireland. ‘Great Britain’ refers only to England, Scotland and Wales, not to Northern Ireland."	"Life in the UK"	
"What percentage of the total population lives in Wales?<br><br>8%<br>3%<br>1%<br>5%"	"5%"	"UK population is very unequally distributed over the four parts of the UK. Wales makes around 5%."	"Life in the UK"	
"What did the Romans introduce to Britain?<br><br>Christianity<br>New plants and animals<br>New food and cloth<br>New machinery"	"New plants and animals"	"The Romans remained in Britain for 400 years. They built roads and public buildings, created a structure of law, and introduced new plants and animals."	"Life in the UK"	
"When were the women given the right to vote at the same age as men?<br><br>1928<br>1918<br>1969<br>1957"	"1928"	"Emmeline Pankhurst was born in Manchester in 1858. She set up the Women’s Franchise League in 1889, which fought to get the vote in local elections for married women. Shortly before Emmeline’s death in 1928, women were given the right to vote at the age of 21, the same as men."	"Life in the UK"	
"When did England win the World Cup?<br><br>1966<br>1970<br>1962<br>1974"	"1966"	"Bobby Moore (1941–93) captained the English football team that won the World Cup in 1966."	"Life in the UK"	
"Which party did Margaret Thatcher belong to?<br><br>Labour<br>Liberal Democrats<br>Conservative<br>UKIP"	"Conservative"	"Margaret Thatcher, Britain’s first woman Prime Minister, led the Conservative government from 1979 to 1990."	"Life in the UK"	
"Who won the Wars of the Roses?<br><br>House of York<br>House of Lancaster<br>House of Lords<br>House of Commons"	"House of Lancaster"	"This war was called the Wars of the Roses, because the symbol of Lancaster was a red rose and the symbol of York was a white rose. The war ended with the Battle of Bosworth Field in 1485. King Richard III of the House of York was killed in the battle and Henry Tudor, the leader of the House of Lancaster, became King Henry VII."	"Life in the UK"	
"Who is a Patron St of Scotland?<br><br>St Patrick<br>St George<br>St David<br>St Andrew"	"St Andrew"	"England, Scotland, Wales and Northern Ireland each have a national saint, called a patron saint. Each saint has a special day:"	"Life in the UK"	
"Who was the first Danish King?<br><br>William<br>Cnut also 'Canute'<br>Kenneth MacAlpin<br>Harold"	"Cnut also 'Canute'"	"The first Danish King was Cnut, also called Canute."	"Life in the UK"	
"What is the period after the Norman Conquest up until 1485 called?<br><br>The Middle Ages<br>The Stone age<br>The Bronze Age<br>The Iron Age"	"The Middle Ages"	"The period after the Norman Conquest up until about 1485 is called the Middle Ages or the medieval period. It was a time of almost constant war."	"Life in the UK"	
"Who was the first man to be called the ‘Prime Minister’?<br><br>Clement Atlee<br>Margaret Thatcher<br>Winston Churchill<br>Sir Robert Walpole"	"Sir Robert Walpole"	"The first man to be called ‘Prime Minister’ was Sir Robert Walpole, who was Prime Minister from 1721 to 1742."	"Life in the UK"	
"Who wrote “The Lord of the Rings”?<br><br>J K Rowling<br>Ian Fleming<br>JRR Tolkien<br>Charles Dickens"	"JRR Tolkien"	"The Lord of the Rings by JRR Tolkien was voted the country’s best-loved novel in 2003."	"Life in the UK"	
"Which languages were the basis of modern English?<br><br>Gaelic and Celtic<br>Norman French and Celtic<br>Celtic and Anglo Saxon<br>Norman French and Anglo Saxon"	"Norman French and Anglo Saxon"	"After the Norman Conquest, the king and his noblemen had spoken Norman French and the peasants had continued to speak Anglo-Saxon. Gradually these two languages combined to become one English language."	"Life in the UK"	
"How many American colonies declared their independence in 1776?<br><br>7<br>17<br>5<br>13"	"13"	"In 1776, 13 American colonies declared their independence, stating that people had a right to establish their own governments. The colonists eventually defeated the British army and Britain recognised the colonies’ independence in 1783."	"Life in the UK"	
"How often do the ministers meet to discuss important issues?<br><br>Monthly<br>Yearly<br>Daily<br>Weekly"	"Weekly"	"Ministers form the cabinet, a committee which usually meets weekly and makes important decisions about government policy. Many of these decisions have to be debated or approved by Parliament."	"Life in the UK"	
"Who is currently the Head of State of the UK?<br><br>Queen Elizabeth II<br>Prince Philip<br>David Cameron<br>Prince Charles"	"Queen Elizabeth II"	"Queen Elizabeth II is the head of state of the UK. She is also the monarch or head of state for many countries in the Commonwealth."	"Life in the UK"	
"When did the “Battle of Agincourt” take place?<br><br>1415<br>1613<br>1716<br>1200"	"1415"	"One of the most famous battles of the Hundred Years War was the Battle of Agincourt in 1415, where King Henry V’s vastly outnumbered English army defeated the French. The English left France in the 1450s."	"Life in the UK"	
"Which of these is not a music festival?<br><br>Creamfields<br>The Fringe<br>V festival<br>Glastonbury"	"The Fringe"	"The Edinburgh Festival takes place in Edinburgh, Scotland, every summer. The Fringe (One of the festivals) is a showcase of mainly theatre and comedy performances."	"Life in the UK"	
"What is the Turner Prize given for?<br><br>Art<br>Dancing<br>Garden design<br>Music"	"Art"	"The Turner Prize is recognised as one of the most prestigious visual art awards in Europe. Previous winners include Damien Hirst and Richard Wright."	"Life in the UK"	
"When did the UK join the EEC?<br><br>1973<br>1968<br>1957<br>1964"	"1973"	"West Germany, France, Belgium, Italy, Luxembourg and the Netherlands formed the European Economic Community (EEC) in 1957. At first the UK did not wish to join the EEC but it eventually did so in 1973."	"Life in the UK"	
"What’s the age requirement to drink wine with a meal with someone over 18?<br><br>17<br>21<br>16<br>18"	"16"	"16 year olds can drink wine or beer with a meal in a hotel or restaurant as long as they are with someone over 18."	"Life in the UK"	
"How many members does The Northern Ireland Assembly have?<br><br>119<br>108<br>110<br>129"	"108"	"The Northern Ireland Assembly was established soon after the Belfast Agreement (or Good Friday Agreement) in 1998. There is a power-sharing agreement which distributes ministerial Offices amongst the main parties. The Assembly has 108 elected members, known as MLAs (members of the Legislative Assembly). They are elected with a form of proportional representation."	"Life in the UK"	
"Who was the Prime Minister during 1945-1951?<br><br>R A Butler<br>Dylan Thomas<br>Clement Attlee<br>Winston Churchill"	"Clement Attlee"	"Clement Attlee was born in London in 1883. He was Prime Minister from 1945 to 1951 and led the Labour Party for 20 years."	"Life in the UK"	
"What did the Statute of Rhuddlan do?<br><br>Annexed Wales to England<br>Annexed Scotland to England<br>Annexed Ireland to England<br>Annexed Britain to England"	"Annexed Wales to England"	"In 1284 King Edward I of England introduced the Statute of Rhuddlan, which annexed Wales to the Crown of England."	"Life in the UK"	
"When were films first shown in the UK?<br><br>1896<br>1894<br>1902<br>1901"	"1896"	"Films were first shown publicly in the UK in 1896 and film screenings very quickly became popular."	"Life in the UK"	
"Who established the Church of England?<br><br>Henry VIII<br>Henry VII<br>The Pope<br>St George"	"Henry VIII"	"To divorce his first wife, Henry VIII needed the approval of the Pope. When the Pope refused, Henry established the Church of England. In this new Church, the king, not the Pope, would have the power to appoint bishops and order how people should worship."	"Life in the UK"	
"When was the first coin in Britain made?<br><br>The Iron age<br>The Stone age<br>The Gold age<br>The Middle ages"	"The Iron age"	"The Iron Age people made the first coins to be minted in Britain, some inscribed with the names of Iron Age kings."	"Life in the UK"	
"Where does the UK government sit?<br><br>Senedd<br>Holyrood<br>Stormont<br>Westminster"	"Westminster"	"The UK is governed by the parliament sitting in Westminster."	"Life in the UK"	
"How long can you use an EU driving licence for?<br><br>5 years<br>2 years<br>12 months<br>As long as it's valid"	"As long as it's valid"	"If your driving licence is from a country in the European Union (EU), Iceland, Liechtenstein or Norway, you can drive in the UK for as long as your licence is valid. If you have a licence from any other country, you may use it in the UK for up to 12 months."	"Life in the UK"	
"When is Valentine’s Day?<br><br>23rd of April<br>14th of February<br>16th of December<br>31st of December"	"14th of February"	"Valentine’s Day, 14 February, is when lovers exchange cards and gifts. Sometimes people send anonymous cards to someone they secretly admire."	"Life in the UK"	
"Where did the supporters of Charles Edward Stuart come from?<br><br>Edinburgh<br>Glasgow<br>Aberdeen<br>Highlands"	"Highlands"	"Charles Edward Stuart (Bonnie Prince Charlie), the grandson of James II, landed in Scotland. He was supported by clansmen from the Scottish highlands and raised an army."	"Life in the UK"	
"Who designed the Clifton Suspension Bridge?<br><br>Isambard Kingdom Brunel<br>Florence Nightingale<br>Richard Arkwright<br>Sir Christopher Wren"	"Isambard Kingdom Brunel"	"Brunel was originally from Portsmouth, England. He was an engineer who built tunnels, bridges, railway lines and ships. He was responsible for constructing the Great Western Railway and the Clifton Suspension Bridge."	"Life in the UK"	
"Where was one of the Anglo Saxon kings buried with treasure and armour?<br><br>Newcastle<br>Suffolk<br>London<br>Kent"	"Suffolk"	"The burial place of one of the kings was at Sutton Hoo in modern Suffolk.  This king was buried with treasure and armour, all placed in a ship which was then covered by a mound of earth. Scotland and Wales remained free of Anglo Saxon rule."	"Life in the UK"	
"Which of the events is the bombing of English cities by the Germans?<br><br>The Battle of Britain<br>The Blitz<br>D-Day<br>The Dunkirk spirit"	"The Blitz"	"The Blitz was the German air force bombing London and other British cities at night-time. The phrase ‘the Blitz spirit’ is still used today to describe Britons pulling together in the face of adversity."	"Life in the UK"	
"What helped the progress of the industrial revolution?<br><br>Human Nature ideas<br>New Economics ideas<br>New Political Ideas<br>Steam Power"	"Steam Power"	"Scientific discoveries, such as James Watt’s work on steam power, helped the progress of the Industrial Revolution."	"Life in the UK"	
"When did the Habeas Corpus Act become law?<br><br>1679<br>1683<br>1685<br>1687"	"1679"	"The Habeas Corpus Act became law in 1679. This was a very important piece of legislation which remains relevant today. Habeas corpus is Latin for ‘you must present the person in court’. The Act guaranteed that no one could be held prisoner unlawfully. Every prisoner has a right to a court hearing."	"Life in the UK"	
"Who can get a 50% discount on their TV licence?<br><br>Army Officers<br>Students<br>Deaf people<br>Blind people"	"Blind people"	"People over 75 can apply for a free TV licence and blind people can get a 50% discount."	"Life in the UK"	
"Who was the first woman Prime Minister?<br><br>Margaret Thatcher<br>Elizabeth Brown<br>Florence Nightingale<br>Mary Peters"	"Margaret Thatcher"	"In 1979, Margaret Thatcher became the first woman Prime Minister of the UK. She was the longest-serving Prime Minister of the 20th century, remaining in Office until 1990."	"Life in the UK"	
"What does the UK offer to its residents?<br><br>Free TV license<br>Luxurious Life<br>Freedom of belief and religion<br>Untaxed income"	"Freedom of belief and religion"	""	"Life in the UK"	
"What is the National Anthem of the UK?<br><br>God Save the Queen<br>Queen reign over the UK<br>United we stand<br>God Save the UK"	"God Save the Queen"	"The National Anthem of the UK is ‘God Save the Queen’. It is played at important national occasions and at events attended by the Queen or the Royal Family. The first verse is: ‘God save our gracious Queen! Long live our noble Queen! God save the Queen! Send her victorious, Happy and glorious, Long to reign over us, God save the Queen!’."	"Life in the UK"	
"Which word comes from the Viking language?<br><br>Scunthorpe<br>Leg<br>Cow<br>Arm"	"Scunthorpe"	"Grimsby and Scunthorpe are the examples of words that come from the Viking languages."	"Life in the UK"	
"Which operas were written by Gilbert and Sullivan?<br><br>The Phantom of the Opera<br>HMS Pinafore and The Mikado<br>Jesus Christ Superstar<br>Tim Rice and Evita"	"HMS Pinafore and The Mikado"	"Gilbert and Sullivan wrote comic operas, often making fun of popular culture and politics. These operas include HMS Pinafore, The Pirates of Penzance and The Mikado."	"Life in the UK"	
"Where is Loch Lomond located?<br><br>England<br>Scotland<br>Wales<br>Northern Ireland"	"Scotland"	"Loch Lomond is the largest expanse of fresh water in mainland Britain and probably the best-known part of the park. It is located in Scotland."	"Life in the UK"	
"When is Halloween celebrated?<br><br>31st of November<br>31st of October<br>30th of October<br>30th of November"	"31st of October"	"Halloween, 31 October, is an ancient festival and has roots in the pagan festival to mark the beginning of winter. Young people will often dress up in frightening costumes to play ‘trick or treat’. People give them treats to stop them playing tricks on them. A lot of people carve lanterns out of pumpkins and put a candle inside."	"Life in the UK"	
"Who defeated Napoleon at the Battle of Waterloo?<br><br>Henry VII<br>Nelson<br>Louis XIV<br>The Duke of Wellington"	"The Duke of Wellington"	" In 1815, the French Wars ended with the defeat of the Emperor Napoleon by the Duke of Wellington at the Battle of Waterloo."	"Life in the UK"	
"What percentage of the UK population is Sikh? <br><br>4%<br>1%<br>3%<br>2%"	"1%"	"In the 2009 Citizenship Survey, 1% of people identified themselves as Sikh."	"Life in the UK"	
"Where are the most serious civil cases heard in England and Wales?<br><br>Crown Court<br>High Court<br>The Court of Session<br>Sheriff Court"	"High Court"	"More serious civil cases – for example, when a large amount of compensation is being claimed – are dealt with in the High Court in England, Wales and Northern Ireland."	"Life in the UK"	
"Who is responsible for subjects such as education, health and defence?<br><br>Chancellor of the Exchequer<br>Secretary of State<br>Foreign Secretary<br>Home Secretary"	"Secretary of State"	"Secretaries of State are responsible for subjects such as education, health and defence."	"Life in the UK"	
"What did Henry VII do?<br><br>Increased the power of the nobles<br>Broke away from the Church of Rome<br>Restricted King's power<br>Reduced the power of the nobles"	"Reduced the power of the nobles"	"Henry VII wanted to make sure that England remained peaceful and that his position as king was secure. He deliberately strengthened the central administration of England and reduced the power of the nobles."	"Life in the UK"	
"Which of these charities works with children?<br><br>NSPCC<br>The National Trust<br>Crisis and Shelter<br>PDSA"	"NSPCC"	"The National Society for the Prevention of Cruelty to Children (NSPCC) works with children."	"Life in the UK"	
"Which of these are ‘Crown Dependencies’?<br><br>Ireland and the Channel Islands<br>The Channel Islands and the Isle of Man<br>St Helena and Wales<br>St Helena and Falkland Islands"	"The Channel Islands and the Isle of Man"	"The Channel Islands and the Isle of Man are closely related to the UK but are not part of it. They have their own governments and are called ‘Crown dependencies’."	"Life in the UK"	
"What is the capital of Wales?<br><br>Belfast<br>Edinburgh<br>Cardiff<br>London"	"Cardiff"	"Cardiff is the capital of Wales."	"Life in the UK"	
"Who sat in the House of Lords in the middle ages?<br><br>Every Landowner<br>Wealthy People<br>Knights<br>The nobility and great landowners"	"The nobility and great landowners"	"The nobility, great landowners and bishops sat in the House of Lords."	"Life in the UK"	
"What is the official report that contains everything said in Parliament called?<br><br>Hansard<br>The Government press<br>The Government report<br>The Domesday Book"	"Hansard"	"Proceedings in Parliament are broadcast on television and published in official reports called Hansard."	"Life in the UK"	
"When did Ireland split into 2 countries?<br><br>1934<br>1925<br>1949<br>1922"	"1922"	"Ireland became two countries in 1922."	"Life in the UK"	
"Where can you find the ship HMS Victory now?<br><br>Portsmouth<br>London<br>Dorset<br>Edinburgh"	"Portsmouth"	"HMS Victory, can be visited in Portsmouth. It was Admiral Nelson’s ship."	"Life in the UK"	
"For how long did England remain a republic?<br><br>11 years<br>10 years<br>12 years<br>14 years"	"11 years"	"Britain had been a republic for 11 years."	"Life in the UK"	
"What did the first farmers build in Britain?<br><br>Hospitals and Roads<br>Tombs and Stadiums<br>Theatres and Houses<br>Houses and Monuments"	"Houses and Monuments"	"The first farmers built houses, tombs and monuments on the land."	"Life in the UK"	
"What is the judiciary responsible for?<br><br>Putting people in prison<br>Deciding whether a person is guilty<br>Looking after a jury<br>Interpreting the law"	"Interpreting the law"	"Judges, who are together called ‘the judiciary’, are responsible for interpreting the law and ensuring that trials are conducted fairly."	"Life in the UK"	
"When did the Enlightenment happen?<br><br>19th and 20th century<br>18th century<br>18th and 19th century<br>19th century"	"18th century"	"During the 18th century, new ideas about politics, philosophy and science were developed. This is often called ‘the Enlightenment’."	"Life in the UK"	
"Who became one of the most popular monarchs in the 16th century?<br><br>Elizabeth I<br>Henry VIII<br>Mary I<br>Henry VII"	"Elizabeth I"	"Queen Elizabeth I became one of the most popular monarchs in English history, particularly after 1588, when the English defeated the Spanish Armada."	"Life in the UK"	
"Who developed important Human Nature ideas?<br><br>Richard Arkwright<br>James Watt<br>David Hume<br>Adam Smith"	"David Hume"	"David Hume’s ideas about human nature continue to influence philosophers."	"Life in the UK"	
"When did the WWI begin?<br><br>1914<br>1918<br>1939<br>1941"	"1914"	"The first World War began in 1914 and ended in 1918."	"Life in the UK"	
"Where did the engineers come from in the middle ages?<br><br>Germany<br>Holland<br>France<br>Italy"	"Germany"	"People came to England from abroad to trade and also to work. Engineers came from Germany."	"Life in the UK"	
"When is Boxing Day?<br><br>The day after Easter<br>The day before Easter<br>The day before Christmas Day<br>The day after Christmas Day"	"The day after Christmas Day"	"Boxing Day (26th of December) is the day after Christmas Day (25th of December) and is a public holiday."	"Life in the UK"	
